コード,銘柄名,市場
3098-T,ココカラファイン,東証1部
3099-T,ミツコシイセタン,東証1部
3101-T,東洋紡,東証1部
3103-T,ユニチカ,東証1部
3104-T,富士紡HD,東証1部
3105-T,日清紡HD,東証1部
3106-T,クラボウ,東証1部
3107-T,ダイワボHD,東証1部
3109-T,シキボウ,東証1部
3110-T,日東紡,東証1部
3116-T,トヨタ紡織,東証1部
3132-T,マクニカ富士,東証1部
3134-T,Hamee,東証1部
3141-T,ウエルシアHD,東証1部
3148-T,クリエイトSDH,東証1部
3151-T,バイタルKSK,東証1部
3153-T,八洲電機,東証1部
3154-T,メディアスHD,東証1部
3156-T,UKCHD,東証1部
3159-T,丸善CHI,東証1部
3166-T,OCHI･HD,東証1部
3167-T,TOKAIHD,東証1部
3169-T,ミサワ,東証1部
3172-T,ティーライフ,東証1部
3173-T,大阪工機,東証1部
3175-T,APC,東証1部
3176-T,三洋貿易,東証1部
3178-T,チムニー,東証1部
3179-T,シュッピン,東証1部
3180-T,Bガレージ,東証1部
3183-T,ウインパートナ,東証1部
3186-T,ネクステージ,東証1部
3191-T,ジョイ本田,東証1部
3193-T,鳥貴族,東証1部
3194-T,キリン堂HD,東証1部
3196-T,ホットランド,東証1部
3197-T,すかい,東証1部
3199-T,綿半HD,東証1部
3201-T,ニッケ,東証1部
3202-T,ダイトウボウ,東証1部
3204-T,トーア紡,東証1部
3205-T,ダイドリミ,東証1部
3221-T,ヨシックス,東証1部
3222-T,U.S.M.H,東証1部
3228-T,三栄建築,東証1部
3231-T,野村不HD,東証1部
3232-T,三交GHD,東証1部
3244-T,サムティ,東証1部
3245-T,ディア･ライフ,東証1部
3250-T,ADワークス,東証1部
3252-T,日商開発,東証1部
3254-T,プレサンス,東証1部
3258-T,ユニゾHD,東証1部
3271-T,グロバル社,東証1部
3276-T,日本管理,東証1部
3277-T,サンセイランデ,東証1部
3280-T,エストラスト,東証1部
3284-T,フージャース,東証1部
3288-T,オープンハウス,東証1部
3289-T,東急不HD,東証1部
3291-T,飯田GHD,東証1部
3299-T,ムゲンエステト,東証1部
3302-T,帝繊維,東証1部
3313-T,ブックオフ,東証1部
3315-T,日本コークス,東証1部
3319-T,GDO,東証1部
3321-T,ミタチ,東証1部
3328-T,BEENOS,東証1部
3333-T,あさひ,東証1部
3341-T,日本調剤,東証1部
3349-T,コスモス薬品,東証1部
3360-T,シップHD,東証1部
3361-T,トーエル,東証1部
3366-T,一六堂,東証1部
3371-T,ソフトクリエHD,東証1部
3376-T,オンリー,東証1部
3382-T,7&I-HD,東証1部
3385-T,薬王堂,東証1部
3387-T,クリレスHD,東証1部
3388-T,明治電機,東証1部
3391-T,ツルハHD,東証1部
3392-T,デリカフーズ,東証1部
3393-T,スターティア,東証1部
3395-T,サンマルクHD,東証1部
3396-T,フェリシモ,東証1部
3397-T,トリドールHD,東証1部
3401-T,帝人,東証1部
3402-T,東レ,東証1部
3405-T,クラレ,東証1部
3407-T,旭化成,東証1部
3408-T,サカイオーベ,東証1部
3415-T,トウキョベース,東証1部
3421-T,稲葉製作,東証1部
3431-T,宮地エンジ,東証1部
3433-T,トーカロ,東証1部
3434-T,アルファCo,東証1部
3436-T,SUMCO,東証1部
3443-T,川田TECH,東証1部
3445-T,RSTECH,東証1部
3454-T,Fブラザース,東証1部
3457-T,ハウスドゥ,東証1部
3458-T,シーアールイー,東証1部
3465-T,ケイアイスター,東証1部
3501-T,住江織,東証1部
3512-T,日フエルト,東証1部
3513-T,イチカワ,東証1部
3521-T,エコナックHD,東証1部
3524-T,日東網,東証1部
3526-T,芦森工,東証1部
3529-T,アツギ,東証1部
3543-T,コメダ,東証1部
3544-T,サツドラHD,東証1部
3546-T,ダイユーリック,東証1部
3548-T,バロック,東証1部
3549-T,クスリのアオキ,東証1部
3551-T,ダイニック,東証1部
3553-T,共和レザ,東証1部
3563-T,スシローGHD,東証1部
3569-T,セーレン,東証1部
3571-T,ソトー,東証1部
3577-T,東海染,東証1部
3580-T,小松精,東証1部
3591-T,ワコールHD,東証1部
3593-T,ホギメディ,東証1部
3606-T,レナウン,東証1部
3607-T,クラウディア,東証1部
3608-T,TSIHD,東証1部
3626-T,TIS,東証1部
3627-T,ネオス,東証1部
3630-T,電算システム,東証1部
3632-T,グリー,東証1部
3635-T,コーエーテクモ,東証1部
3636-T,三菱総研,東証1部
3639-T,ボルテージ,東証1部
3640-T,電算,東証1部
3648-T,AGS,東証1部
3649-T,ファインデクス,東証1部
3654-T,ヒトコム,東証1部
3655-T,ブレインP,東証1部
3656-T,KLab,東証1部
3657-T,ポールHD,東証1部
3658-T,イーブック,東証1部
3659-T,ネクソン,東証1部
3660-T,アイスタイル,東証1部
3661-T,エムアップ,東証1部
3662-T,エイチーム,東証1部
3666-T,テクノスJPN,東証1部
3667-T,enish,東証1部
3668-T,コロプラ,東証1部
3669-T,モバクリ,東証1部
3672-T,オルトプラス,東証1部
3673-T,ブロドリーフ,東証1部
3676-T,HUG,東証1部
3678-T,メディアドゥ,東証1部
3681-T,ブイキューブ,東証1部
3683-T,サイバリンクス,東証1部
3686-T,DLE,東証1部
3687-T,フィックスタース,東証1部
3688-T,VOYAGE,東証1部
3694-T,オプティム,東証1部
3696-T,セレス,東証1部
3708-T,特種東海,東証1部
3724-T,ベリサーブ,東証1部
3738-T,ティーガイア,東証1部
3751-T,日本アG,東証1部
3756-T,豆蔵,東証1部
3762-T,テクマトリックス,東証1部
3765-T,ガンホー,東証1部
3769-T,GMOPG,東証1部
3770-T,ザッパラス,東証1部
3771-T,システムリサーチ,東証1部
3774-T,IIJ,東証1部
3778-T,さくら,東証1部
3788-T,GMOクラウド,東証1部
3817-T,SRAHD,東証1部
3822-T,Minori,東証1部
3826-T,システムインテ,東証1部
3834-T,朝日ネット,東証1部
3837-T,アドソル,東証1部
3843-T,フリービット,東証1部
3844-T,コムチュア,東証1部
3852-T,サイバーコム,東証1部
3861-T,王子HD,東証1部
3863-T,日本紙,東証1部
3864-T,三菱紙,東証1部
3865-T,北越紀州,東証1部
3877-T,中越パル,東証1部
3878-T,巴川紙,東証1部
3880-T,大王紙,東証1部
3896-T,阿波製紙,東証1部
3902-T,MDV,東証1部
3903-T,gumi,東証1部
3909-T,ショーケースTV,東証1部
3916-T,DIT,東証1部
3918-T,PCIHD,東証1部
3919-T,パイプドH,東証1部
3920-T,アイビーシー,東証1部
3926-T,オープンドア,東証1部
3938-T,LINE,東証1部
3941-T,レンゴー,東証1部
3946-T,トーモク,東証1部
3950-T,ザ･パック,東証1部
3964-T,オークネット,東証1部
3975-T,AOITYOHD,東証1部
3978-T,マクロミル,東証1部
4004-T,昭電工,東証1部
4005-T,住友化,東証1部
4008-T,住精化,東証1部
4021-T,日産化,東証1部
4022-T,ラサ工,東証1部
4023-T,クレハ,東証1部
4025-T,多木化,東証1部
4027-T,テイカ,東証1部
4028-T,石原産,東証1部
4031-T,片倉コープ,東証1部
4033-T,日東エフシー,東証1部
4041-T,日曹達,東証1部
4042-T,東ソー,東証1部
4043-T,トクヤマ,東証1部
4044-T,セ硝子,東証1部
4045-T,東亜合成,東証1部
4046-T,大阪ソーダ,東証1部
4047-T,関電化,東証1部
4061-T,デンカ,東証1部
4062-T,イビデン,東証1部
4063-T,信越化,東証1部
4064-T,カーバイド,東証1部
4078-T,堺化学,東証1部
4088-T,エア･ウォーター,東証1部
4091-T,大陽日酸,東証1部
4092-T,日本化,東証1部
4095-T,パーカライ,東証1部
4097-T,高圧ガス,東証1部
4098-T,チタン工,東証1部
4099-T,四国化,東証1部
4100-T,戸田工,東証1部
4109-T,ステラケミファ,東証1部
4112-T,保土谷,東証1部
4114-T,日触媒,東証1部
4116-T,大日精,東証1部
4118-T,カネカ,東証1部
4151-T,協和キリン,東証1部
4182-T,三菱ガス,東証1部
4183-T,三井化学,東証1部
4185-T,JSR,東証1部
4186-T,応化工,東証1部
4187-T,大有機,東証1部
4188-T,三菱ケミHD,東証1部
4189-T,KHネオケム,東証1部
4202-T,ダイセル,東証1部
4203-T,住友ベ,東証1部
4204-T,積水化,東証1部
4205-T,ゼオン,東証1部
4206-T,アイカ工,東証1部
4208-T,宇部興,東証1部
4212-T,積水樹,東証1部
4215-T,タキロン,東証1部
4216-T,旭有機材,東証1部
