コード,銘柄名,市場
8897-T,タカラレーベン,東証1部
8904-T,サンヨーナゴヤ,東証1部
8905-T,イオンモール,東証1部
8917-T,ファースト住,東証1部
8918-T,ランド,東証1部
8920-T,東祥,東証1部
8923-T,トーセイ,東証1部
8928-T,穴吹興産,東証1部
8933-T,NTT都市,東証1部
8934-T,サンフロンティア,東証1部
8935-T,FJネクスト,東証1部
8940-T,インテリックス,東証1部
8944-T,ランビジネス,東証1部
8999-T,グランディ,東証1部
9001-T,東武,東証1部
9003-T,相鉄HD,東証1部
9005-T,東急,東証1部
9006-T,京急,東証1部
9007-T,小田急,東証1部
9008-T,京王,東証1部
9009-T,京成,東証1部
9010-T,富士急,東証1部
9014-T,新京成,東証1部
9020-T,JR東日本,東証1部
9021-T,JR西日本,東証1部
9022-T,JR東海,東証1部
9024-T,西武HD,東証1部
9025-T,鴻池運輸,東証1部
9031-T,西鉄,東証1部
9037-T,ハマキョウ,東証1部
9039-T,サカイ引越,東証1部
9041-T,近鉄GHD,東証1部
9042-T,阪急阪神,東証1部
9044-T,南海電,東証1部
9045-T,京阪HD,東証1部
9046-T,神電鉄,東証1部
9048-T,名鉄,東証1部
9052-T,山陽電,東証1部
9058-T,トランコム,東証1部
9062-T,日通,東証1部
9064-T,ヤマトHD,東証1部
9065-T,山九,東証1部
9066-T,日新,東証1部
9067-T,丸運,東証1部
9068-T,丸全運,東証1部
9069-T,センコー,東証1部
9070-T,トナミHD,東証1部
9072-T,ニッコンHD,東証1部
9074-T,日石輸,東証1部
9075-T,福山運,東証1部
9076-T,セイノーHD,東証1部
9081-T,神奈交,東証1部
9086-T,日立物,東証1部
9090-T,丸和運輸,東証1部
9099-T,C&FロジHD,東証1部
9101-T,郵船,東証1部
9104-T,商船三井,東証1部
9107-T,川崎船,東証1部
9110-T,ユナイテド海,東証1部
9115-T,明治海,東証1部
9119-T,飯野海,東証1部
9130-T,共栄タ,東証1部
9142-T,JR九州,東証1部
9201-T,JAL,東証1部
9202-T,ANA,東証1部
9232-T,パスコ,東証1部
9301-T,三菱倉,東証1部
9302-T,三井倉HD,東証1部
9303-T,住友倉,東証1部
9304-T,渋沢倉,東証1部
9305-T,ヤマタネ,東証1部
9306-T,東陽倉,東証1部
9308-T,乾汽船,東証1部
9310-T,トランシィ,東証1部
9312-T,ケイヒン,東証1部
9319-T,中央倉,東証1部
9324-T,安田倉庫,東証1部
9351-T,洋埠頭,東証1部
9358-T,宇徳,東証1部
9364-T,上組,東証1部
9366-T,サンリツ,東証1部
9368-T,キムラユニティー,東証1部
9369-T,キユソー流通,東証1部
9370-T,郵船ロジ,東証1部
9375-T,近鉄エクス,東証1部
9380-T,東海運,東証1部
9381-T,AIT,東証1部
9384-T,内外トランス,東証1部
9401-T,TBSHD,東証1部
9404-T,日テレHD,東証1部
9405-T,朝日放,東証1部
9409-T,テレ朝HD,東証1部
9412-T,スカパーJ,東証1部
9413-T,テレ東HD,東証1部
9414-T,BS11,東証1部
9416-T,ビジョン,東証1部
9418-T,U-NEXT,東証1部
9419-T,ワイヤレスG,東証1部
9422-T,コネクシオ,東証1部
9424-T,日本通信,東証1部
9428-T,クロップス,東証1部
9432-T,NTT,東証1部
9433-T,KDDI,東証1部
9435-T,光通信,東証1部
9437-T,NTTドコモ,東証1部
9438-T,エムティーアイ,東証1部
9449-T,GMO,東証1部
9466-T,アイドマMC,東証1部
9468-T,カドカワ,東証1部
9470-T,学研HD,東証1部
9474-T,ゼンリン,東証1部
9475-T,昭文社,東証1部
9479-T,インプレス,東証1部
9501-T,東電力HD,東証1部
9502-T,中部電,東証1部
9503-T,関西電,東証1部
9504-T,中国電,東証1部
9505-T,北陸電,東証1部
9506-T,東北電,東証1部
9507-T,四国電,東証1部
9508-T,九州電,東証1部
9509-T,北海電,東証1部
9511-T,沖縄電,東証1部
9513-T,Jパワー,東証1部
9514-T,EF-ON,東証1部
9517-T,イーレックス,東証1部
9531-T,東ガス,東証1部
9532-T,大ガス,東証1部
9533-T,邦ガス,東証1部
9534-T,北ガス,東証1部
9535-T,広島ガス,東証1部
9536-T,西ガス,東証1部
9543-T,静岡ガス,東証1部
9551-T,メタウォーター,東証1部
9600-T,アイネット,東証1部
9601-T,松竹,東証1部
9602-T,東宝,東証1部
9603-T,エイチ･アイエス,東証1部
9605-T,東映,東証1部
9612-T,ラックランド,東証1部
9613-T,NTTデータ,東証1部
9616-T,共立メンテ,東証1部
9619-T,イチネンHD,東証1部
9621-T,建設技研,東証1部
9622-T,スペース,東証1部
9627-T,アインHD,東証1部
9628-T,燦HD,東証1部
9629-T,ピーシーエー,東証1部
9632-T,スバル興,東証1部
9633-T,テアトル,東証1部
9644-T,タナベ経,東証1部
9658-T,太田昭,東証1部
9663-T,ナガワ,東証1部
9671-T,よみラント,東証1部
9672-T,都競馬,東証1部
9675-T,常磐興,東証1部
9678-T,カナモト,東証1部
9681-T,ドーム,東証1部
9682-T,DTS,東証1部
9684-T,スクエニHD,東証1部
9692-T,シーイーシー,東証1部
9697-T,カプコン,東証1部
9699-T,西尾レント,東証1部
9702-T,アイエスビー,東証1部
9704-T,アゴーラHG,東証1部
9706-T,空港ビル,東証1部
9715-T,トランスコスモ,東証1部
9716-T,乃村工,東証1部
9717-T,ジャステック,東証1部
9719-T,SCSK,東証1部
9722-T,藤田観,東証1部
9726-T,KNTCT,東証1部
9728-T,日管財,東証1部
9729-T,トーカイ,東証1部
9731-T,白洋舎,東証1部
9735-T,セコム,東証1部
9739-T,NSW,東証1部
9740-T,CSP,東証1部
9742-T,アイネス,東証1部
9743-T,丹青社,東証1部
9744-T,メイテック,東証1部
9746-T,TKC,東証1部
9747-T,アサツーDK,東証1部
9749-T,富士ソフト,東証1部
9755-T,応用地,東証1部
9757-T,船総研HD,東証1部
9759-T,NSD,東証1部
9760-T,進学会,東証1部
9763-T,丸紅リース,東証1部
9765-T,オオバ,東証1部
9766-T,コナミHD,東証1部
9768-T,いであ,東証1部
9769-T,学究社,東証1部
9783-T,ベネッセHD,東証1部
9787-T,イオンディライ,東証1部
9788-T,ナック,東証1部
9790-T,福井コンピ,東証1部
9792-T,ニチイ学館,東証1部
9793-T,ダイセキ,東証1部
9795-T,ステップ,東証1部
9810-T,日鉄住物,東証1部
9828-T,元気寿司,東証1部
9830-T,Tナカヤマ,東証1部
9831-T,ヤマダ電,東証1部
9832-T,オートバクス,東証1部
9837-T,モリト,東証1部
9842-T,アークランド,東証1部
9843-T,ニトリHD,東証1部
9850-T,グルメ杵屋,東証1部
9854-T,愛眼,東証1部
9856-T,ケーユーHD,東証1部
9861-T,吉野家HD,東証1部
9869-T,加藤産業,東証1部
9880-T,イノテック,東証1部
9882-T,イエローハット,東証1部
9887-T,松屋フーズ,東証1部
9889-T,JBCCHD,東証1部
9896-T,JKHD,東証1部
9900-T,サガミチェン,東証1部
9902-T,日伝,東証1部
9919-T,関西スパ,東証1部
9928-T,ミロク情報,東証1部
9930-T,北沢産,東証1部
9932-T,杉本商,東証1部
9934-T,因幡電産,東証1部
9936-T,王将フード,東証1部
9945-T,プレナス,東証1部
9946-T,ミニストップ,東証1部
9948-T,アークス,東証1部
9956-T,バローHD,東証1部
9957-T,バイテックHD,東証1部
9962-T,ミスミG,東証1部
9966-T,藤久,東証1部
9972-T,アルテック,東証1部
9974-T,ベルク,東証1部
9979-T,大庄,東証1部
9982-T,タキヒヨー,東証1部
9983-T,ファーストリテイ,東証1部
9984-T,ソフトバンクG,東証1部
9986-T,蔵王産業,東証1部
9987-T,スズケン,東証1部
9989-T,サンドラッグ,東証1部
9990-T,サックスバーH,東証1部
9991-T,ジェコス,東証1部
9993-T,ヤマザワ,東証1部
9994-T,やまや,東証1部
9995-T,イーストン,東証1部
9997-T,ベルーナ,東証1部
